UF,fuma_tabaco,tentou_parar_fumar,nicotina_liquida_folha_tabaco,fumo_em_domicilio
RO,4.20521264498827,2.046286329386436,4.354568839919871,1.279005613021214
AC,4.415159638975059,3.888861369633349,4.8873076578412515,3.580985887372773
AM,2.563060570298807,4.12537591690433,4.946813417731799,1.5135072503028502
RR,3.6540289494467997,2.543640746524358,4.775193648316758,4.241519497888332
PA,2.337122697745635,2.8191712058678764,4.959322079900389,2.340322684951224
AP,1.0,3.1830622872603493,4.787182140123302,2.1203700045464418
TO,4.262511966686009,1.0,4.492530677860722,4.062826842622929
MA,3.6360622050621454,3.154728282300782,4.987426494288836,3.4280036834060925
PI,3.5965292947722354,4.382420723852549,4.175757484451072,3.499702651316982
CE,4.368199007725105,4.693949827032268,4.812886467599926,4.555306647982307
RN,4.706060543037033,2.3950484391819176,5.0,4.331508083481486
PB,4.881568250398381,2.7130905703943746,4.862732244437156,4.537964026251435
PE,4.235134675275734,1.2274535498666168,4.965876618811183,3.761464373350038
AL,4.610983090051352,1.3689033866529707,4.550357477287475,2.6994289362277133
SE,4.398771403035176,2.4536191751781056,4.903907466058261,2.777500355060262
BA,3.8113866704096524,1.5620052283561452,4.7693629601550676,1.3068302516273231
MG,4.843565808289177,5.0,4.688376399688728,4.667022151025925
ES,4.321159949992577,2.207667254227533,4.885764935343369,2.0784449059006227
RJ,5.0,3.152311682473568,4.714564023318664,1.7951734971383806
SP,4.70525159143974,3.2367686799121285,2.6558697442098524,2.9241653837113764
PR,4.841627759268728,4.778256189451023,2.306847539673925,2.6518230761892454
SC,4.632402907310265,4.48693455836858,3.7563717253771753,2.1306188658703533
RS,4.833221304802654,2.191796348705082,4.480610727983836,3.814759736426723
MS,4.049897708036346,3.010981522995033,2.0221228799502446,2.9345831024220113
MT,4.289287897037571,1.5248145486059772,4.0765764635633275,1.0
GO,4.75689862532332,3.966828082249414,3.582369771833836,5.0
DF,3.4487914433020914,3.182365888533649,1.0,1.7066132708444037
