UF,1.0,2.0,3.0,4.0,5.0
AC,21,216,1421,643,79
AL,39,302,1652,845,149
AM,105,284,2022,957,111
AP,28,152,876,432,66
BA,39,304,2018,1075,223
CE,31,327,2623,1189,95
DF,22,230,1501,537,75
ES,55,321,2143,856,166
GO,22,227,1691,689,73
MA,41,405,2959,1535,140
MG,60,540,3319,1151,139
MS,36,347,1785,613,82
MT,42,241,1494,608,83
PA,41,334,2351,990,137
PB,43,252,1795,874,194
PE,59,358,2234,1151,281
PI,21,176,1668,822,53
PR,136,506,2432,774,119
RJ,138,497,2968,1081,282
RN,37,259,1702,819,145
RO,29,191,1274,606,76
RR,38,226,1239,646,89
RS,58,597,2197,795,120
SC,69,435,2366,767,101
SE,41,263,1401,778,127
SP,102,691,3698,1391,232
TO,15,198,1143,526,40
